countyFIPS,County Name_x,State,StateFIPS_cases,population,date,deaths,deaths_per_million
0,Statewide Unallocated,OR,41,0,2020-06-02,0,
41001,Baker County ,OR,41,16124,2020-06-02,0,0.0
41003,Benton County ,OR,41,93053,2020-06-02,5,53.73281893114677
41005,Clackamas County ,OR,41,418187,2020-06-02,11,26.30402188494621
41007,Clatsop County ,OR,41,40224,2020-06-02,0,0.0
41009,Columbia County ,OR,41,52354,2020-06-02,0,0.0
41011,Coos County ,OR,41,64487,2020-06-02,0,0.0
41013,Crook County ,OR,41,24404,2020-06-02,0,0.0
41015,Curry County ,OR,41,22925,2020-06-02,0,0.0
41017,Deschutes County ,OR,41,197692,2020-06-02,0,0.0
41019,Douglas County ,OR,41,110980,2020-06-02,0,0.0
41021,Gilliam County ,OR,41,1912,2020-06-02,0,0.0
41023,Grant County ,OR,41,7199,2020-06-02,0,0.0
41025,Harney County ,OR,41,7393,2020-06-02,0,0.0
41027,Hood River County ,OR,41,23382,2020-06-02,0,0.0
41029,Jackson County ,OR,41,220944,2020-06-02,0,0.0
41031,Jefferson County ,OR,41,24658,2020-06-02,0,0.0
41033,Josephine County ,OR,41,87487,2020-06-02,1,11.430269640060809
41035,Klamath County ,OR,41,68238,2020-06-02,0,0.0
41037,Lake County ,OR,41,7869,2020-06-02,0,0.0
41039,Lane County ,OR,41,382067,2020-06-02,3,7.852025953563119
41041,Lincoln County ,OR,41,49962,2020-06-02,0,0.0
41043,Linn County ,OR,41,129749,2020-06-02,9,69.36469645238114
41045,Malheur County ,OR,41,30571,2020-06-02,0,0.0
41047,Marion County ,OR,41,347818,2020-06-02,26,74.75173797790798
41049,Morrow County ,OR,41,11603,2020-06-02,0,0.0
41051,Multnomah County ,OR,41,812855,2020-06-02,61,75.04413456274489
41053,Polk County ,OR,41,86085,2020-06-02,12,139.39710751001917
41055,Sherman County ,OR,41,1780,2020-06-02,0,0.0
41057,Tillamook County ,OR,41,27036,2020-06-02,0,0.0
41059,Umatilla County ,OR,41,77950,2020-06-02,3,38.486209108402825
41061,Union County ,OR,41,26835,2020-06-02,0,0.0
41063,Wallowa County ,OR,41,7208,2020-06-02,0,0.0
41065,Wasco County ,OR,41,26682,2020-06-02,1,37.47844989131249
41067,Washington County ,OR,41,601592,2020-06-02,18,29.920610646418172
41069,Wheeler County ,OR,41,1332,2020-06-02,0,0.0
41071,Yamhill County ,OR,41,107100,2020-06-02,7,65.35947712418302
0,Statewide Unallocated,WA,53,0,2020-06-02,0,
53001,Adams County ,WA,53,19983,2020-06-02,0,0.0
53003,Asotin County ,WA,53,22582,2020-06-02,2,88.5661146045523
53005,Benton County ,WA,53,204390,2020-06-02,63,308.23425803610746
53007,Chelan County ,WA,53,77200,2020-06-02,6,77.720207253886
53009,Clallam County ,WA,53,77331,2020-06-02,0,0.0
53011,Clark County ,WA,53,488241,2020-06-02,22,45.059714362374315
53013,Columbia County ,WA,53,3985,2020-06-02,0,0.0
53015,Cowlitz County ,WA,53,110593,2020-06-02,0,0.0
53017,Douglas County ,WA,53,43429,2020-06-02,3,69.07826567500979
53019,Ferry County ,WA,53,7627,2020-06-02,0,0.0
53021,Franklin County ,WA,53,95222,2020-06-02,20,210.0354959988238
53023,Garfield County ,WA,53,2225,2020-06-02,0,0.0
53025,Grant County ,WA,53,97733,2020-06-02,4,40.92783399670531
53027,Grays Harbor County ,WA,53,75061,2020-06-02,0,0.0
53029,Island County ,WA,53,85141,2020-06-02,11,129.1974489376446
53031,Jefferson County ,WA,53,32221,2020-06-02,0,0.0
53033,King County ,WA,53,2252782,2020-06-02,570,253.02048755716268
53035,Kitsap County ,WA,53,271473,2020-06-02,2,7.3672151558350185
53037,Kittitas County ,WA,53,47935,2020-06-02,0,0.0
53039,Klickitat County ,WA,53,22425,2020-06-02,3,133.77926421404683
53041,Lewis County ,WA,53,80707,2020-06-02,3,37.17149689618001
53043,Lincoln County ,WA,53,10939,2020-06-02,0,0.0
53045,Mason County ,WA,53,66768,2020-06-02,1,14.97723460340283
53047,Okanogan County ,WA,53,42243,2020-06-02,1,23.67256113438913
53049,Pacific County ,WA,53,22471,2020-06-02,1,44.50180232299408
53051,Pend Oreille County ,WA,53,13724,2020-06-02,0,0.0
53053,Pierce County ,WA,53,904980,2020-06-02,81,89.50474043625273
53055,San Juan County ,WA,53,17582,2020-06-02,0,0.0
53057,Skagit County ,WA,53,129205,2020-06-02,15,116.0945783831895
53059,Skamania County ,WA,53,12083,2020-06-02,0,0.0
53061,Snohomish County ,WA,53,822083,2020-06-02,149,181.24690572606417
53063,Spokane County ,WA,53,522798,2020-06-02,34,65.03467878607033
53065,Stevens County ,WA,53,45723,2020-06-02,1,21.87083087286486
53067,Thurston County ,WA,53,290536,2020-06-02,2,6.883828510064157
53069,Wahkiakum County ,WA,53,4488,2020-06-02,0,0.0
53071,Walla Walla County ,WA,53,60760,2020-06-02,2,32.916392363396966
53073,Whatcom County ,WA,53,229247,2020-06-02,37,161.39796813044447
53075,Whitman County ,WA,53,50104,2020-06-02,0,0.0
53077,Yakima County ,WA,53,250873,2020-06-02,96,382.6637382261144
0,Statewide Unallocated,WY,56,0,2020-06-02,0,
56001,Albany County ,WY,56,38880,2020-06-02,0,0.0
56003,Big Horn County ,WY,56,11790,2020-06-02,0,0.0
56005,Campbell County ,WY,56,46341,2020-06-02,0,0.0
56007,Carbon County ,WY,56,14800,2020-06-02,1,67.56756756756756
56009,Converse County ,WY,56,13822,2020-06-02,0,0.0
56011,Crook County ,WY,56,7584,2020-06-02,0,0.0
56013,Fremont County ,WY,56,39261,2020-06-02,8,203.7645500624029
56015,Goshen County ,WY,56,13211,2020-06-02,0,0.0
56017,Hot Springs County ,WY,56,4413,2020-06-02,0,0.0
56019,Johnson County ,WY,56,8445,2020-06-02,1,118.41326228537596
56021,Laramie County ,WY,56,99500,2020-06-02,2,20.100502512562816
56023,Lincoln County ,WY,56,19830,2020-06-02,0,0.0
56025,Natrona County ,WY,56,79858,2020-06-02,1,12.522226952841294
56027,Niobrara County ,WY,56,2356,2020-06-02,0,0.0
56029,Park County ,WY,56,29194,2020-06-02,0,0.0
56031,Platte County ,WY,56,8393,2020-06-02,0,0.0
56033,Sheridan County ,WY,56,30485,2020-06-02,0,0.0
56035,Sublette County ,WY,56,9831,2020-06-02,0,0.0
56037,Sweetwater County ,WY,56,42343,2020-06-02,0,0.0
56039,Teton County ,WY,56,23464,2020-06-02,1,42.61847937265598
56041,Uinta County ,WY,56,20226,2020-06-02,0,0.0
56043,Washakie County ,WY,56,7805,2020-06-02,3,384.3689942344651
56045,Weston County ,WY,56,6927,2020-06-02,0,0.0
0,Statewide Unallocated,CA,6,0,2020-06-03,0,
6001,Alameda County ,CA,6,1671329,2020-06-03,107,64.0209079122064
6003,Alpine County ,CA,6,1129,2020-06-03,0,0.0
6005,Amador County ,CA,6,39752,2020-06-03,0,0.0
6007,Butte County ,CA,6,219186,2020-06-03,1,4.562335185641419
6009,Calaveras County ,CA,6,45905,2020-06-03,0,0.0
6011,Colusa County ,CA,6,21547,2020-06-03,0,0.0
6013,Contra Costa County ,CA,6,1153526,2020-06-03,43,37.27700979431759
6015,Del Norte County ,CA,6,27812,2020-06-03,0,0.0
6017,El Dorado County ,CA,6,192843,2020-06-03,0,0.0
6019,Fresno County ,CA,6,999101,2020-06-03,52,52.046790064267775
6021,Glenn County ,CA,6,28393,2020-06-03,0,0.0
6023,Humboldt County ,CA,6,135558,2020-06-03,4,29.507664615883975
6025,Imperial County ,CA,6,181215,2020-06-03,66,364.2082609055542
6027,Inyo County ,CA,6,18039,2020-06-03,1,55.43544542380398
6029,Kern County ,CA,6,900202,2020-06-03,47,52.21050386468815
6031,Kings County ,CA,6,152940,2020-06-03,6,39.23107100823852
6033,Lake County ,CA,6,64386,2020-06-03,0,0.0
6035,Lassen County ,CA,6,30573,2020-06-03,0,0.0
6037,Los Angeles County ,CA,6,10039107,2020-06-03,2719,270.84082279429833
6039,Madera County ,CA,6,157327,2020-06-03,3,19.06856420067757
6041,Marin County ,CA,6,258826,2020-06-03,18,69.54479070881597
6043,Mariposa County ,CA,6,17203,2020-06-03,0,0.0
6045,Mendocino County ,CA,6,86749,2020-06-03,0,0.0
6047,Merced County ,CA,6,277680,2020-06-03,7,25.208873523480264
6049,Modoc County ,CA,6,8841,2020-06-03,0,0.0
6051,Mono County ,CA,6,14444,2020-06-03,1,69.23289947382996
6053,Monterey County ,CA,6,434061,2020-06-03,11,25.342060217342723
6055,Napa County ,CA,6,137744,2020-06-03,3,21.779533046811476
6057,Nevada County ,CA,6,99755,2020-06-03,1,10.024560172422435
6059,Orange County ,CA,6,3175692,2020-06-03,241,75.88897160052046
6061,Placer County ,CA,6,398329,2020-06-03,9,22.594388056104375
6063,Plumas County ,CA,6,18807,2020-06-03,0,0.0
6065,Riverside County ,CA,6,2470546,2020-06-03,348,140.85955088470322
6067,Sacramento County ,CA,6,1552058,2020-06-03,62,39.9469607450237
6069,San Benito County ,CA,6,62808,2020-06-03,2,31.843077314991724
6071,San Bernardino County ,CA,6,2180085,2020-06-03,227,104.12438047140364
6073,San Diego County ,CA,6,3338330,2020-06-03,305,91.36304679285752
6075,City and County of San Francisco,CA,6,881549,2020-06-03,48,54.44961085543742
6077,San Joaquin County ,CA,6,762148,2020-06-03,39,51.17116360601877
6079,San Luis Obispo County ,CA,6,283111,2020-06-03,1,3.532183489867932
6081,San Mateo County ,CA,6,766573,2020-06-03,94,122.62367706663291
6083,Santa Barbara County ,CA,6,446499,2020-06-03,14,31.35505342677139
6085,Santa Clara County ,CA,6,1927852,2020-06-03,144,74.69453049300465
6087,Santa Cruz County ,CA,6,273213,2020-06-03,2,7.320295886359727
6089,Shasta County ,CA,6,180080,2020-06-03,4,22.21235006663705
6091,Sierra County ,CA,6,3005,2020-06-03,0,0.0
6093,Siskiyou County ,CA,6,43539,2020-06-03,0,0.0
6095,Solano County ,CA,6,447643,2020-06-03,21,46.912383305446525
6097,Sonoma County ,CA,6,494336,2020-06-03,3,6.068746763335059
6099,Stanislaus County ,CA,6,550660,2020-06-03,33,59.92808629644427
6101,Sutter County ,CA,6,96971,2020-06-03,2,20.62472285528663
6103,Tehama County ,CA,6,65084,2020-06-03,1,15.364759387867984
6105,Trinity County ,CA,6,12285,2020-06-03,0,0.0
6107,Tulare County ,CA,6,466195,2020-06-03,92,197.34231383862976
6109,Tuolumne County ,CA,6,54478,2020-06-03,0,0.0
6111,Ventura County ,CA,6,846006,2020-06-03,33,39.00681555449961
6113,Yolo County ,CA,6,220500,2020-06-03,24,108.843537414966
6115,Yuba County ,CA,6,78668,2020-06-03,1,12.711648955102456
0,Statewide Unallocated,ID,16,0,2020-06-03,0,
16001,Ada County ,ID,16,481587,2020-06-03,22,45.68229624138525
16003,Adams County ,ID,16,4294,2020-06-03,0,0.0
16005,Bannock County ,ID,16,87808,2020-06-03,1,11.388483965014577
16007,Bear Lake County ,ID,16,6125,2020-06-03,0,0.0
16009,Benewah County ,ID,16,9298,2020-06-03,0,0.0
16011,Bingham County ,ID,16,46811,2020-06-03,0,0.0
16013,Blaine County ,ID,16,23021,2020-06-03,5,217.19299769775424
16015,Boise County ,ID,16,7831,2020-06-03,0,0.0
16017,Bonner County ,ID,16,45739,2020-06-03,0,0.0
16019,Bonneville County ,ID,16,119062,2020-06-03,0,0.0
16021,Boundary County ,ID,16,12245,2020-06-03,0,0.0
16023,Butte County ,ID,16,2597,2020-06-03,0,0.0
16025,Camas County ,ID,16,1106,2020-06-03,0,0.0
16027,Canyon County ,ID,16,229849,2020-06-03,6,26.10409442721091
16029,Caribou County ,ID,16,7155,2020-06-03,0,0.0
16031,Cassia County ,ID,16,24030,2020-06-03,1,41.61464835622139
16033,Clark County ,ID,16,845,2020-06-03,0,0.0
16035,Clearwater County ,ID,16,8756,2020-06-03,0,0.0
16037,Custer County ,ID,16,4315,2020-06-03,0,0.0
16039,Elmore County ,ID,16,27511,2020-06-03,2,72.69819344989277
16041,Franklin County ,ID,16,13876,2020-06-03,0,0.0
16043,Fremont County ,ID,16,13099,2020-06-03,0,0.0
16045,Gem County ,ID,16,18112,2020-06-03,0,0.0
16047,Gooding County ,ID,16,15179,2020-06-03,0,0.0
16049,Idaho County ,ID,16,16667,2020-06-03,0,0.0
16051,Jefferson County ,ID,16,29871,2020-06-03,0,0.0
16053,Jerome County ,ID,16,24412,2020-06-03,2,81.92692118630181
16055,Kootenai County ,ID,16,165697,2020-06-03,0,0.0
16057,Latah County ,ID,16,40108,2020-06-03,0,0.0
16059,Lemhi County ,ID,16,8027,2020-06-03,0,0.0
16061,Lewis County ,ID,16,3838,2020-06-03,0,0.0
16063,Lincoln County ,ID,16,5366,2020-06-03,0,0.0
16065,Madison County ,ID,16,39907,2020-06-03,0,0.0
16067,Minidoka County ,ID,16,21039,2020-06-03,0,0.0
16069,Nez Perce County ,ID,16,40408,2020-06-03,19,470.20392001583843
16071,Oneida County ,ID,16,4531,2020-06-03,0,0.0
16073,Owyhee County ,ID,16,11823,2020-06-03,0,0.0
16075,Payette County ,ID,16,23951,2020-06-03,2,83.50382029977871
16077,Power County ,ID,16,7681,2020-06-03,0,0.0
16079,Shoshone County ,ID,16,12882,2020-06-03,0,0.0
16081,Teton County ,ID,16,12142,2020-06-03,0,0.0
16083,Twin Falls County ,ID,16,86878,2020-06-03,23,264.7390593706117
16085,Valley County ,ID,16,11392,2020-06-03,0,0.0
16087,Washington County ,ID,16,10194,2020-06-03,0,0.0
0,Statewide Unallocated,MT,30,0,2020-06-03,2,inf
30001,Beaverhead County ,MT,30,9453,2020-06-03,0,0.0
30003,Big Horn County ,MT,30,13319,2020-06-03,0,0.0
30005,Blaine County ,MT,30,6681,2020-06-03,0,0.0
30007,Broadwater County ,MT,30,6237,2020-06-03,0,0.0
30009,Carbon County ,MT,30,10725,2020-06-03,0,0.0
30011,Carter County ,MT,30,1252,2020-06-03,0,0.0
30013,Cascade County ,MT,30,81366,2020-06-03,2,24.580291522257454
30015,Chouteau County ,MT,30,5635,2020-06-03,0,0.0
30017,Custer County ,MT,30,11402,2020-06-03,0,0.0
30019,Daniels County ,MT,30,1690,2020-06-03,0,0.0
30021,Dawson County ,MT,30,8613,2020-06-03,0,0.0
30023,Deer Lodge County ,MT,30,9140,2020-06-03,0,0.0
30025,Fallon County ,MT,30,2846,2020-06-03,0,0.0
30027,Fergus County ,MT,30,11050,2020-06-03,0,0.0
30029,Flathead County ,MT,30,103806,2020-06-03,2,19.266709053426585
30031,Gallatin County ,MT,30,114434,2020-06-03,1,8.738661586591398
30033,Garfield County ,MT,30,1258,2020-06-03,0,0.0
30035,Glacier County ,MT,30,13753,2020-06-03,0,0.0
30037,Golden Valley County ,MT,30,821,2020-06-03,0,0.0
30039,Granite County ,MT,30,3379,2020-06-03,0,0.0
30041,Hill County ,MT,30,16484,2020-06-03,0,0.0
30043,Jefferson County ,MT,30,12221,2020-06-03,0,0.0
30045,Judith Basin County ,MT,30,2007,2020-06-03,0,0.0
30047,Lake County ,MT,30,30458,2020-06-03,0,0.0
30049,Lewis and Clark County ,MT,30,69432,2020-06-03,0,0.0
30051,Liberty County ,MT,30,2337,2020-06-03,0,0.0
30053,Lincoln County ,MT,30,19980,2020-06-03,1,50.050050050050054
30055,McCone County ,MT,30,1664,2020-06-03,0,0.0
30057,Madison County ,MT,30,8600,2020-06-03,1,116.27906976744187
30059,Meagher County ,MT,30,1862,2020-06-03,0,0.0
30061,Mineral County ,MT,30,4397,2020-06-03,0,0.0
30063,Missoula County ,MT,30,119600,2020-06-03,0,0.0
30065,Musselshell County ,MT,30,4633,2020-06-03,0,0.0
30067,Park County ,MT,30,16606,2020-06-03,0,0.0
30069,Petroleum County ,MT,30,487,2020-06-03,0,0.0
30071,Phillips County ,MT,30,3954,2020-06-03,0,0.0
30073,Pondera County ,MT,30,5911,2020-06-03,0,0.0
30075,Powder River County ,MT,30,1682,2020-06-03,0,0.0
30077,Powell County ,MT,30,6890,2020-06-03,0,0.0
30079,Prairie County ,MT,30,1077,2020-06-03,0,0.0
30081,Ravalli County ,MT,30,43806,2020-06-03,0,0.0
30083,Richland County ,MT,30,10803,2020-06-03,0,0.0
30085,Roosevelt County ,MT,30,11004,2020-06-03,0,0.0
30087,Rosebud County ,MT,30,8937,2020-06-03,0,0.0
30089,Sanders County ,MT,30,12113,2020-06-03,0,0.0
30091,Sheridan County ,MT,30,3309,2020-06-03,0,0.0
30093,Silver Bow County ,MT,30,34915,2020-06-03,0,0.0
30095,Stillwater County ,MT,30,9642,2020-06-03,0,0.0
30097,Sweet Grass County ,MT,30,3737,2020-06-03,0,0.0
30099,Teton County ,MT,30,6147,2020-06-03,0,0.0
30101,Toole County ,MT,30,4736,2020-06-03,6,1266.8918918918919
30103,Treasure County ,MT,30,696,2020-06-03,0,0.0
30105,Valley County ,MT,30,7396,2020-06-03,0,0.0
30107,Wheatland County ,MT,30,2126,2020-06-03,0,0.0
30109,Wibaux County ,MT,30,969,2020-06-03,0,0.0
30111,Yellowstone County ,MT,30,161300,2020-06-03,3,18.598884066955982
0,Statewide Unallocated,OR,41,0,2020-06-03,0,
41001,Baker County ,OR,41,16124,2020-06-03,0,0.0
41003,Benton County ,OR,41,93053,2020-06-03,5,53.73281893114677
41005,Clackamas County ,OR,41,418187,2020-06-03,12,28.695296601759498
41007,Clatsop County ,OR,41,40224,2020-06-03,0,0.0
41009,Columbia County ,OR,41,52354,2020-06-03,0,0.0
41011,Coos County ,OR,41,64487,2020-06-03,0,0.0
41013,Crook County ,OR,41,24404,2020-06-03,0,0.0
41015,Curry County ,OR,41,22925,2020-06-03,0,0.0
41017,Deschutes County ,OR,41,197692,2020-06-03,0,0.0
41019,Douglas County ,OR,41,110980,2020-06-03,0,0.0
41021,Gilliam County ,OR,41,1912,2020-06-03,0,0.0
41023,Grant County ,OR,41,7199,2020-06-03,0,0.0
41025,Harney County ,OR,41,7393,2020-06-03,0,0.0
41027,Hood River County ,OR,41,23382,2020-06-03,0,0.0
41029,Jackson County ,OR,41,220944,2020-06-03,0,0.0
41031,Jefferson County ,OR,41,24658,2020-06-03,0,0.0
41033,Josephine County ,OR,41,87487,2020-06-03,1,11.430269640060809
41035,Klamath County ,OR,41,68238,2020-06-03,0,0.0
41037,Lake County ,OR,41,7869,2020-06-03,0,0.0
41039,Lane County ,OR,41,382067,2020-06-03,3,7.852025953563119
41041,Lincoln County ,OR,41,49962,2020-06-03,0,0.0
41043,Linn County ,OR,41,129749,2020-06-03,9,69.36469645238114
41045,Malheur County ,OR,41,30571,2020-06-03,0,0.0
41047,Marion County ,OR,41,347818,2020-06-03,26,74.75173797790798
41049,Morrow County ,OR,41,11603,2020-06-03,0,0.0
41051,Multnomah County ,OR,41,812855,2020-06-03,62,76.27436627688824
41053,Polk County ,OR,41,86085,2020-06-03,12,139.39710751001917
41055,Sherman County ,OR,41,1780,2020-06-03,0,0.0
41057,Tillamook County ,OR,41,27036,2020-06-03,0,0.0
41059,Umatilla County ,OR,41,77950,2020-06-03,3,38.486209108402825
41061,Union County ,OR,41,26835,2020-06-03,0,0.0
41063,Wallowa County ,OR,41,7208,2020-06-03,0,0.0
41065,Wasco County ,OR,41,26682,2020-06-03,1,37.47844989131249
41067,Washington County ,OR,41,601592,2020-06-03,18,29.920610646418172
41069,Wheeler County ,OR,41,1332,2020-06-03,0,0.0
41071,Yamhill County ,OR,41,107100,2020-06-03,7,65.35947712418302
0,Statewide Unallocated,WA,53,0,2020-06-03,0,
53001,Adams County ,WA,53,19983,2020-06-03,0,0.0
53003,Asotin County ,WA,53,22582,2020-06-03,2,88.5661146045523
53005,Benton County ,WA,53,204390,2020-06-03,63,308.23425803610746
53007,Chelan County ,WA,53,77200,2020-06-03,6,77.720207253886
53009,Clallam County ,WA,53,77331,2020-06-03,0,0.0
53011,Clark County ,WA,53,488241,2020-06-03,22,45.059714362374315
53013,Columbia County ,WA,53,3985,2020-06-03,0,0.0
53015,Cowlitz County ,WA,53,110593,2020-06-03,0,0.0
53017,Douglas County ,WA,53,43429,2020-06-03,3,69.07826567500979
53019,Ferry County ,WA,53,7627,2020-06-03,0,0.0
53021,Franklin County ,WA,53,95222,2020-06-03,20,210.0354959988238
53023,Garfield County ,WA,53,2225,2020-06-03,0,0.0
53025,Grant County ,WA,53,97733,2020-06-03,4,40.92783399670531
53027,Grays Harbor County ,WA,53,75061,2020-06-03,0,0.0
53029,Island County ,WA,53,85141,2020-06-03,11,129.1974489376446
53031,Jefferson County ,WA,53,32221,2020-06-03,0,0.0
53033,King County ,WA,53,2252782,2020-06-03,573,254.3521743337793
53035,Kitsap County ,WA,53,271473,2020-06-03,2,7.3672151558350185
53037,Kittitas County ,WA,53,47935,2020-06-03,0,0.0
53039,Klickitat County ,WA,53,22425,2020-06-03,3,133.77926421404683
53041,Lewis County ,WA,53,80707,2020-06-03,3,37.17149689618001
53043,Lincoln County ,WA,53,10939,2020-06-03,0,0.0
53045,Mason County ,WA,53,66768,2020-06-03,1,14.97723460340283
53047,Okanogan County ,WA,53,42243,2020-06-03,1,23.67256113438913
53049,Pacific County ,WA,53,22471,2020-06-03,1,44.50180232299408
53051,Pend Oreille County ,WA,53,13724,2020-06-03,0,0.0
53053,Pierce County ,WA,53,904980,2020-06-03,82,90.60973723176204
53055,San Juan County ,WA,53,17582,2020-06-03,0,0.0
53057,Skagit County ,WA,53,129205,2020-06-03,15,116.0945783831895
53059,Skamania County ,WA,53,12083,2020-06-03,0,0.0
53061,Snohomish County ,WA,53,822083,2020-06-03,150,182.4633279121451
53063,Spokane County ,WA,53,522798,2020-06-03,34,65.03467878607033
53065,Stevens County ,WA,53,45723,2020-06-03,1,21.87083087286486
53067,Thurston County ,WA,53,290536,2020-06-03,2,6.883828510064157
53069,Wahkiakum County ,WA,53,4488,2020-06-03,0,0.0
53071,Walla Walla County ,WA,53,60760,2020-06-03,2,32.916392363396966
53073,Whatcom County ,WA,53,229247,2020-06-03,37,161.39796813044447
53075,Whitman County ,WA,53,50104,2020-06-03,0,0.0
53077,Yakima County ,WA,53,250873,2020-06-03,97,386.6498188326364
0,Statewide Unallocated,WY,56,0,2020-06-03,0,
56001,Albany County ,WY,56,38880,2020-06-03,0,0.0
56003,Big Horn County ,WY,56,11790,2020-06-03,0,0.0
56005,Campbell County ,WY,56,46341,2020-06-03,0,0.0
56007,Carbon County ,WY,56,14800,2020-06-03,1,67.56756756756756
56009,Converse County ,WY,56,13822,2020-06-03,0,0.0
56011,Crook County ,WY,56,7584,2020-06-03,0,0.0
56013,Fremont County ,WY,56,39261,2020-06-03,8,203.7645500624029
56015,Goshen County ,WY,56,13211,2020-06-03,0,0.0
56017,Hot Springs County ,WY,56,4413,2020-06-03,0,0.0
56019,Johnson County ,WY,56,8445,2020-06-03,1,118.41326228537596
56021,Laramie County ,WY,56,99500,2020-06-03,2,20.100502512562816
56023,Lincoln County ,WY,56,19830,2020-06-03,0,0.0
56025,Natrona County ,WY,56,79858,2020-06-03,1,12.522226952841294
56027,Niobrara County ,WY,56,2356,2020-06-03,0,0.0
56029,Park County ,WY,56,29194,2020-06-03,0,0.0
56031,Platte County ,WY,56,8393,2020-06-03,0,0.0
56033,Sheridan County ,WY,56,30485,2020-06-03,0,0.0
56035,Sublette County ,WY,56,9831,2020-06-03,0,0.0
56037,Sweetwater County ,WY,56,42343,2020-06-03,0,0.0
56039,Teton County ,WY,56,23464,2020-06-03,1,42.61847937265598
56041,Uinta County ,WY,56,20226,2020-06-03,0,0.0
56043,Washakie County ,WY,56,7805,2020-06-03,3,384.3689942344651
56045,Weston County ,WY,56,6927,2020-06-03,0,0.0
0,Statewide Unallocated,CA,6,0,2020-06-04,0,
6001,Alameda County ,CA,6,1671329,2020-06-04,108,64.61923415437656
6003,Alpine County ,CA,6,1129,2020-06-04,0,0.0
6005,Amador County ,CA,6,39752,2020-06-04,0,0.0
6007,Butte County ,CA,6,219186,2020-06-04,1,4.562335185641419
6009,Calaveras County ,CA,6,45905,2020-06-04,0,0.0
6011,Colusa County ,CA,6,21547,2020-06-04,0,0.0
6013,Contra Costa County ,CA,6,1153526,2020-06-04,43,37.27700979431759
6015,Del Norte County ,CA,6,27812,2020-06-04,0,0.0
6017,El Dorado County ,CA,6,192843,2020-06-04,0,0.0
6019,Fresno County ,CA,6,999101,2020-06-04,55,55.049489491052455
6021,Glenn County ,CA,6,28393,2020-06-04,0,0.0
